epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,2.65836,2.5902,6.71795,2.55108,0.00161,0.52083,0.00861,0.00266,2.76609,4.1921,3.59247,1.667e-05,1.667e-05,1.667e-05
2,3.49596,3.04112,4.78652,2.98517,0.0016,0.52083,0.02159,0.00562,2.75053,4.1481,3.5204,4.95149e-05,4.95149e-05,4.95149e-05
3,4.31199,2.09165,3.40331,2.356,0.00158,0.52083,0.03185,0.00868,2.64771,4.20159,3.39541,8.16997e-05,8.16997e-05,8.16997e-05
4,5.10068,2.15369,4.19418,2.62974,0.00187,0.58333,0.03299,0.00966,2.77488,4.07165,3.4451,0.000113224,0.000113224,0.000113224
5,5.88179,2.85008,4.27246,2.92878,0.00184,0.47917,0.03685,0.00982,2.84476,4.02178,3.49042,0.000144089,0.000144089,0.000144089
6,6.68484,2.00304,4.38992,2.271,0.00237,0.70833,0.012,0.0034,2.92233,4.03383,3.32581,0.000174293,0.000174293,0.000174293
7,7.44829,2.75234,4.05806,2.82412,0.00237,0.70833,0.02898,0.00791,2.6121,3.89809,2.96257,0.000203837,0.000203837,0.000203837
8,8.20594,1.42687,3.27369,1.71716,0.00266,0.77083,0.05555,0.00774,2.48532,3.85404,2.85328,0.000232722,0.000232722,0.000232722
9,8.98949,0.9134,5.89719,1.03496,0.00266,0.77083,0.08976,0.01995,2.29897,3.7061,2.71393,0.000260946,0.000260946,0.000260946
10,9.78053,1.36687,3.94538,1.64462,0.00268,0.77083,0.12539,0.03785,2.09625,3.5862,2.40303,0.000288509,0.000288509,0.000288509
11,10.5673,1.78262,3.53473,1.68426,0.00238,0.70833,0.19241,0.06729,2.12213,3.4805,2.27586,0.000315413,0.000315413,0.000315413
12,11.3505,1.46336,3.63559,1.74272,0.00231,0.70833,0.22922,0.09059,1.92824,3.33779,2.04552,0.000341657,0.000341657,0.000341657
13,12.1382,1.69961,2.93186,1.66191,0.00227,0.70833,0.28203,0.09618,2.067,3.2202,2.17767,0.00036724,0.00036724,0.00036724
14,12.9194,1.41057,4.33636,1.5317,0.00227,0.70833,0.21597,0.07678,2.0685,3.22771,2.2796,0.000392163,0.000392163,0.000392163
15,13.6881,1.71945,2.91395,1.76326,0.00227,0.70833,0.22933,0.06012,1.96613,3.22308,2.13167,0.000416427,0.000416427,0.000416427
16,14.4474,1.85388,3.28799,1.9352,0.00226,0.70833,0.31088,0.09904,2.11222,3.25795,2.0814,0.00044003,0.00044003,0.00044003
17,15.2335,1.64662,3.03587,1.66435,0.00227,0.70833,0.32013,0.10962,2.22443,3.29074,2.22001,0.000462973,0.000462973,0.000462973
18,16.0149,2.20087,3.66282,2.20257,0.00183,0.54167,0.12555,0.03251,2.64084,3.36904,2.38438,0.000485255,0.000485255,0.000485255
19,16.784,1.76192,2.62665,1.76593,0.0025,0.77083,0.0228,0.00741,2.59003,3.4491,2.41875,0.000506878,0.000506878,0.000506878
20,17.5426,1.66046,2.89331,1.83427,0.00226,0.70833,0.02081,0.00457,2.42441,3.55096,2.30938,0.000527841,0.000527841,0.000527841
21,18.2785,1.37463,2.40044,1.31569,0.00226,0.70833,0.0214,0.00631,2.38606,3.52387,2.24381,0.000548143,0.000548143,0.000548143
22,18.8902,1.59951,2.61801,1.61116,0.00227,0.70833,0.12466,0.03483,2.17984,3.46399,2.22554,0.000567785,0.000567785,0.000567785
23,19.6731,2.10725,3.09172,2.75873,0.00229,0.70833,0.14607,0.05753,1.93852,3.47143,2.06926,0.000586767,0.000586767,0.000586767
24,20.4062,1.33365,2.46647,1.48981,0.00203,0.64583,0.13642,0.06498,1.80283,3.43881,1.98186,0.000605089,0.000605089,0.000605089
25,21.158,1.94003,3.16311,1.85486,0.00256,0.77083,0.1827,0.07426,1.79785,3.41793,1.96639,0.000622751,0.000622751,0.000622751
26,21.9022,1.12808,2.55153,1.40538,0.00281,0.83333,0.13451,0.03256,1.79987,3.49929,2.19288,0.000639753,0.000639753,0.000639753
27,22.6667,1.13787,2.66619,1.18223,0.00279,0.83333,0.13195,0.02762,1.8744,3.42772,2.26361,0.000656095,0.000656095,0.000656095
28,23.4187,1.29097,2.31233,1.44769,0.00214,0.60417,0.3291,0.10369,1.72546,3.2698,2.05944,0.000671776,0.000671776,0.000671776
29,24.1647,1.21854,2.31292,1.75295,0.69055,0.0625,0.17695,0.07085,1.59763,3.18693,1.87308,0.000686797,0.000686797,0.000686797
30,24.9153,1.43223,2.08863,1.37909,0.0025,0.77083,0.36223,0.17805,1.61948,3.0783,1.88754,0.000701159,0.000701159,0.000701159
31,25.6886,1.46248,2.01593,1.88958,0.0025,0.77083,0.38406,0.20435,1.62374,2.96237,1.82426,0.00071486,0.00071486,0.00071486
32,26.4623,1.00894,2.67062,1.37398,0.33089,0.20457,0.3594,0.19498,1.55808,2.85783,1.75005,0.000727901,0.000727901,0.000727901
33,27.2205,0.89687,2.15752,1.26291,0.58118,0.24481,0.43793,0.25236,1.50749,2.8063,1.73559,0.000740281,0.000740281,0.000740281
34,27.9866,1.34127,2.49164,1.41767,0.91907,0.16667,0.50697,0.28667,1.40491,2.80819,1.6819,0.000752002,0.000752002,0.000752002
35,28.7574,1.51066,2.03315,1.58866,0.97244,0.16667,0.46898,0.31851,1.33946,2.83848,1.6073,0.000763063,0.000763063,0.000763063
36,29.479,0.52,5.08161,0.62415,0.97809,0.16667,0.47367,0.31009,1.39547,2.79567,1.75796,0.000773463,0.000773463,0.000773463
37,30.2503,0.96706,2.12055,1.09195,0.97809,0.16667,0.43465,0.27815,1.46743,2.843,1.71996,0.000783203,0.000783203,0.000783203
38,30.9995,1.04556,1.68929,1.15325,0.4698,0.35417,0.44247,0.26341,1.66811,2.79031,1.84368,0.000792283,0.000792283,0.000792283
39,31.75,0.90987,2.16756,1.18337,0.61076,0.3326,0.46046,0.22996,1.76946,2.72135,1.92264,0.000800703,0.000800703,0.000800703
40,32.4808,0.98243,1.38092,1.06115,0.62619,0.36987,0.47538,0.25428,1.78648,2.7183,1.94553,0.000808463,0.000808463,0.000808463
41,33.1943,1.37106,2.09981,1.41181,0.57336,0.36323,0.48114,0.27785,1.75818,2.63807,2.10925,0.000815563,0.000815563,0.000815563
42,33.875,1.34981,2.03227,1.30732,0.44729,0.57864,0.59085,0.32827,1.67587,2.68583,2.16318,0.000822003,0.000822003,0.000822003
43,34.561,1.06164,1.44498,1.21864,0.81284,0.33333,0.58736,0.29558,1.66775,3.07821,2.06552,0.000827782,0.000827782,0.000827782
44,35.3095,1.13728,2.15487,1.26069,0.66858,0.33333,0.49715,0.23167,1.62812,3.57766,1.97792,0.000832902,0.000832902,0.000832902
45,36.3712,0.90318,2.16903,1.43033,0.6884,0.16667,0.33961,0.18155,1.63109,4.1908,1.92561,0.000837361,0.000837361,0.000837361
46,37.4264,0.97234,1.66993,1.15216,0.67524,0.16667,0.31063,0.18291,1.5745,4.21884,1.8717,0.00084116,0.00084116,0.00084116
47,38.501,1.05806,1.74254,1.20419,0.39747,0.55077,0.38162,0.18709,1.59291,3.68337,1.82681,0.000844299,0.000844299,0.000844299
48,39.3173,0.75017,2.1848,1.08179,0.51922,0.52083,0.32301,0.16859,1.58835,3.2548,1.89978,0.000846778,0.000846778,0.000846778
49,40.0015,1.66279,2.43825,1.9299,0.39439,0.52083,0.41235,0.25162,1.6984,3.32293,2.03428,0.000848596,0.000848596,0.000848596
50,40.6755,1.08471,1.74931,1.27278,0.95376,0.16667,0.42656,0.2359,1.56356,3.41021,1.89342,0.000849755,0.000849755,0.000849755
51,41.3469,1.21894,1.89177,1.38043,0.94742,0.16667,0.38528,0.16735,1.48097,3.68437,1.96185,0.000841835,0.000841835,0.000841835
52,42.0428,0.96902,1.54921,1.17725,0.92981,0.16667,0.3534,0.17377,1.6034,3.69515,2.06151,0.000825332,0.000825332,0.000825332
